Program Name,Initial states,Number of iterations,Total number of phases ,Total number of splits,Total number of prune,Final DistEstimate_value,Total time (seconds) ,Height of final tree,Final simplified candidate
BigGeo1,(z == 0 && x == 16),16,7,47,0,0.0283333333333333,39.4883713722229,41,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),160,8,53,0,0.0283333333333333,113.59336400032043,41,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),112,13,52,0,0.0433333333333333,115.36581039428712,41,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (512,5)}"
BigGeo1,(z == 0 && x == 16),96,11,55,0,0.0133333333333333,79.53153777122498,41,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4), (1024,6)}"
BigGeo1,(z == 0 && x == 16),80,11,57,0,0.0316666666666666,77.24332880973816,41,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),144,10,53,0,0.0433333333333333,91.35185503959656,41,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (512,5)}"
BigGeo1,(z == 0 && x == 16),128,8,125,0,0.0116666666666667,112.33826088905334,41,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4), (512,5), (4096,8), (8192,9), (65536,12)}"
BigGeo1,(z == 0 && x == 16),64,8,51,0,0.0366666666666666,54.1827700138092,41,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),48,8,50,0,0.0483333333333333,53.7192440032959,41,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (512,5)}"
BigGeo1,(z == 0 && x == 16),32,8,50,0,0.0366666666666666,47.25489974021912,41,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
Sum0,(x < 8 && n < k),32,3,5,0,0.0,18.66098713874817,31,"['n mod 1048576 in {0}, x in [0, 512)']"
Sum0,(x == 64 && n < k),80,3,6,0,0.005,32.39420008659363,29,"['n mod 1048576 in {0}, x in [0, 2048)']"
Sum0,(x < 8 && n < k),96,3,6,0,0.0,47.43419241905213,28,"['n mod 1048576 in {0}, x in [0, 4096)']"
Sum0,(x == 64 && n < k),16,6,15,0,0.0,32.620848655700684,36,"n = 0, x in [64, 176)"
Sum0,(x < 8 && n < k),80,3,7,0,0.0,33.66520285606384,29,"['n mod 1048576 in {0}, x in [0, 2048)']"
Sum0,(x == 64 && n < k),160,3,5,0,0.0016666666666667,121.67054176330566,27,"['n mod 1048576 in {0}, x in [0, 8192)']"
Sum0,(x < 8 && n < k),48,3,6,0,0.0,22.20899128913879,30,"['n mod 1048576 in {0}, x in [0, 1024)']"
Sum0,(x == 64 && n < k),128,3,5,0,0.0,104.77482151985168,27,"['n mod 1048576 in {0}, x in [0, 8192)']"
Sum0,(x < 8 && n < k),144,3,4,0,0.0,95.22508025169373,27,"['n mod 1048576 in {0}, x in [0, 8192)']"
Sum0,(x == 64 && n < k),32,4,11,0,0.0,25.59890937805176,34,"n = 0, x in [64, 512)"
Sum0,(x == 64 && n < k),64,3,5,0,0.0,28.548942804336548,29,"['n mod 1048576 in {0}, x in [0, 2048)']"
Sum0,(x == 64 && n < k),144,3,5,0,0.0,91.90252590179443,27,"['n mod 1048576 in {0}, x in [0, 8192)']"
Sum0,(x == 64 && n < k),112,3,6,0,0.0,54.39641952514648,28,"['n mod 1048576 in {0}, x in [0, 4096)']"
Sum0,(x < 8 && n < k),64,3,7,0,0.0,28.8098247051239,29,"['n mod 1048576 in {0}, x in [0, 2048)']"
Sum0,(x == 64 && n < k),48,4,11,0,0.0,30.52816152572632,33,"n = 0, x in [128, 1024)"
Sum0,(x < 8 && n < k),128,2,4,0,0.0,74.84658741950989,27,"['n mod 1048576 in {0}, x in [0, 8192)']"
Sum0,(x < 8 && n < k),160,3,5,0,0.0,152.3428761959076,27,"['n mod 1048576 in {0}, x in [0, 8192)']"
Sum0,(x == 64 && n < k),96,2,4,0,0.0,32.975977182388306,28,"['n mod 1048576 in {0}, x in [0, 4096)']"
Sum0,(x < 8 && n < k),16,3,8,0,0.0,16.142674446105957,33,"['n mod 1048576 in {0}, x in [0, 128)']"
Sum0,(x < 8 && n < k),112,3,6,0,0.0016666666666667,50.416555404663086,28,"['n mod 1048576 in {0}, x in [0, 4096)']"
GeoAr,(x == 0 && y == 0),16,9,54,0,0.0083333333333333,49.85108971595764,41,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5), (15,6)}"
GeoAr,(x == 0 && y == 0),112,11,136,0,0.0233333333333333,365.458863735199,41,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (15,6), (21,7), (28,8), (36,9), (55,11), (66,12)}"
GeoAr,(x == 0 && y == 0),96,8,101,0,0.0283333333333333,118.16133666038512,41,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5), (28,8), (36,9), (66,12)}"
GeoAr,(x == 0 && y == 0),80,12,118,0,0.0266666666666666,131.1911382675171,41,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5), (28,8), (36,9), (45,10), (55,11)}"
GeoAr,(x == 0 && y == 0),144,12,81,0,0.0116666666666667,446.244264125824,41,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5), (15,6), (66,12)}"
GeoAr,(x == 0 && y == 0),128,10,54,0,0.01,266.1221010684967,41,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5), (15,6)}"
GeoAr,(x == 0 && y == 0),64,9,126,0,0.0183333333333333,94.02710747718812,41,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5), (21,7), (28,8), (36,9), (45,10)}"
GeoAr,(x == 0 && y == 0),160,8,107,0,0.0216666666666666,747.171389579773,41,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5), (21,7), (66,12), (91,14)}"
GeoAr,(x == 0 && y == 0),48,9,45,0,0.0366666666666666,60.950626611709595,41,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5)}"
GeoAr,(x == 0 && y == 0),32,8,50,0,0.0166666666666667,50.75421953201294,41,"z = 0, (x,y) ∈ {(0,1), (1,2), (3,3), (6,4), (10,5)}"
BigGeo0,(z14),64,1,0,0,0.0,4.796552896499634,3,['No satisfying assignments found.']
BigGeo0,(z6),48,1,0,0,0.0,5.142016172409058,3,['No satisfying assignments found.']
BigGeo0,(z10),32,1,0,0,0.0,4.656788110733032,3,['No satisfying assignments found.']
BigGeo0,(z10),144,1,0,0,0.0,5.250922679901123,3,['No satisfying assignments found.']
BigGeo0,(z6),160,1,0,0,0.0,6.998557329177856,2,['No satisfying assignments found.']
BigGeo0,(z6),144,1,0,0,0.0,6.869935989379883,2,['No satisfying assignments found.']
BigGeo0,(z14),32,1,0,0,0.0,4.66667103767395,3,['No satisfying assignments found.']
BigGeo0,(z10),48,1,0,0,0.0,5.177704811096191,7,['No satisfying assignments found.']
BigGeo0,(z10),64,1,0,0,0.0,5.2660973072052,7,['No satisfying assignments found.']
BigGeo0,(z6),16,1,0,0,0.0,4.678842067718506,6,['No satisfying assignments found.']
BigGeo0,(z10),112,1,0,0,0.0,6.354740619659424,6,['No satisfying assignments found.']
BigGeo0,(z14),96,1,0,0,0.0,5.011683702468872,3,['No satisfying assignments found.']
BigGeo0,(z10),96,1,0,0,0.0,5.990339279174805,6,['No satisfying assignments found.']
BigGeo0,(z6),112,1,0,0,0.0,6.00631308555603,2,['No satisfying assignments found.']
BigGeo0,(z10),16,1,0,0,0.0,4.686964750289917,8,['No satisfying assignments found.']
BigGeo0,(z14),128,1,0,0,0.0,5.182368755340576,3,['No satisfying assignments found.']
BigGeo0,(z14),16,1,0,0,0.0,4.518923044204712,3,['No satisfying assignments found.']
BigGeo0,(z6),96,1,0,0,0.0,5.68516993522644,2,['No satisfying assignments found.']
BigGeo0,(z10),80,1,0,0,0.0,5.637574672698975,6,['No satisfying assignments found.']
BigGeo0,(z6),80,1,0,0,0.0,5.61715841293335,2,['No satisfying assignments found.']
BigGeo0,(z14),112,1,0,0,0.0,5.061100482940674,3,['No satisfying assignments found.']
BigGeo0,(z10),128,1,0,0,0.0,7.070032358169556,6,['No satisfying assignments found.']
BigGeo0,(z14),160,1,0,0,0.0,5.260455131530762,3,['No satisfying assignments found.']
BigGeo0,(z6),64,1,0,0,0.0,5.33957052230835,3,['No satisfying assignments found.']
BigGeo0,(z6),128,1,0,0,0.0,6.369343280792236,2,['No satisfying assignments found.']
BigGeo0,(z14),48,1,0,0,0.0,4.6352379322052,3,['No satisfying assignments found.']
BigGeo0,(z6),32,1,0,0,0.0,4.8912599086761475,4,['No satisfying assignments found.']
BigGeo0,(z14),144,1,0,0,0.0,5.184441328048706,3,['No satisfying assignments found.']
BigGeo0,(z14),80,1,0,0,0.0,4.907411813735962,3,['No satisfying assignments found.']
BigGeo0,(z10),160,1,0,0,0.0,7.523409128189087,5,['No satisfying assignments found.']
