Program Name,Initial states,Number of iterations,Total number of phases ,Total number of splits,Total number of prune,Final DistEstimate_value,Total time (seconds) ,Height of final tree,Final simplified candidate
LinExp,(count == 0 && n < k),112,6,54,0,0.0,432.8799872398377,54,"n = 0, count in [208, 224) U [236, 320)"
LinExp,(count == 0 && n < k),128,5,15,0,0.0,440.3053691387177,49,"n = 0, count in [0, 384)"
LinExp,(count == 0 && n < k),144,7,45,0,0.0,897.5286087989807,53,"n = 0, count in [256, 264) U [272, 280) U [288, 296) U [304, 312) U [320, 392)"
LinExp,(count == 0 && n < k),160,7,50,0,0.0,1094.9598639011383,55,"n = 0, count in [310, 311) U [318, 319) U [320, 448)"
Mart,(c == 0 && b == 64 && rounds == 0),32,12,47,0,0.0,96.78036665916444,81,"b = 0, c = 64, rounds in [0, 16)"
Mart,(c == 0 && b == 64 && rounds == 0),16,16,54,0,0.0,103.32161283493042,84,"b = 0, c = 64, rounds in [1, 16)"
Mart,(c == 0 && b == 64 && rounds == 0),48,13,47,0,0.0,131.48970985412598,82,"b = 0, c = 64, rounds in [0, 16)"
Mart,(c == 0 && b == 64 && rounds == 0),64,15,50,0,0.0,148.3720817565918,84,"b = 0, c = 64, rounds in [1, 16)"
Mart,(c == 0 && b == 64 && rounds == 0),80,15,53,0,0.0,171.08078789711,84,"b = 0, c = 64, rounds in [1, 16)"
Mart,(c == 0 && b == 64 && rounds == 0),96,14,47,0,0.0,276.5953505039215,84,"b = 0, c = 64, rounds in [1, 16)"
Mart,(c == 0 && b == 64 && rounds == 0),128,15,50,0,0.0,580.5771746635437,84,"b = 0, c = 64, rounds in [1, 16)"
Mart,(c == 0 && b == 64 && rounds == 0),144,15,50,0,0.0,741.0207099914551,84,"b = 0, c = 64, rounds in [1, 16)"
Mart,(c == 0 && b == 64 && rounds == 0),112,15,49,0,0.0,910.8548460006714,84,"b = 0, c = 64, rounds in [1, 16)"
Mart,(c == 0 && b == 64 && rounds == 0),160,14,55,0,0.0033333333333332,993.21097779274,84,"b = 0, c = 64, rounds in [1, 8)"
