Program Name,Initial states,Number of iterations,Total number of phases ,Total number of splits,Total number of prune,Final DistEstimate_value,Total time (seconds) ,Height of final tree,Final simplified candidate
BigGeo1,(z == 0 && x == 16),16,9,63,0,0.0333333333333333,57.78750538825989,49,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),160,9,61,0,0.0216666666666666,143.51921033859253,49,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),112,11,60,0,0.0333333333333333,107.82343983650208,49,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),96,10,63,0,0.04,88.731285572052,49,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),80,9,61,0,0.0416666666666666,75.84706854820251,49,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),144,9,70,0,0.02,145.88904237747192,49,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4), (1024,6)}"
BigGeo1,(z == 0 && x == 16),128,10,59,0,0.03,102.76222825050354,49,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),64,11,60,0,0.0133333333333333,78.1026062965393,49,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4), (512,5)}"
BigGeo1,(z == 0 && x == 16),48,11,64,0,0.035,74.76026225090027,49,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
BigGeo1,(z == 0 && x == 16),32,9,62,0,0.0216666666666666,60.65502715110779,49,"flip = 1, (x,z) ∈ {(16,0), (32,1), (64,2), (128,3), (256,4)}"
